Date,Close
17-01-2023,15883.56
18-01-2023,15649.13
19-01-2023,15569.63
20-01-2023,15777.55
23-01-2023,15880.09
24-01-2023,15868.22
25-01-2023,15889.27
26-01-2023,15985.87
27-01-2023,15962.58
30-01-2023,15818.9
31-01-2023,16036.39
01-02-2023,16121.25
02-02-2023,16122.58
03-02-2023,15999.4
06-02-2023,15895.36
07-02-2023,16021.62
08-02-2023,15934.72
09-02-2023,15828.6
10-02-2023,15910.69
13-02-2023,16052.25
14-02-2023,16025.11
15-02-2023,16016.09
16-02-2023,15873.78
17-02-2023,15840.16
21-02-2023,15572.52
22-02-2023,15530.83
23-02-2023,15584.93
24-02-2023,15464.46
27-02-2023,15492.93
28-02-2023,15428.97
01-03-2023,15436.3
02-03-2023,15524.52
03-03-2023,15721.06
06-03-2023,15694.34
07-03-2023,15439.02
08-03-2023,15440.64
09-03-2023,15140.79
10-03-2023,14894.18
13-03-2023,14764.37
14-03-2023,14944.74
15-03-2023,14662.55
16-03-2023,14830.98
17-03-2023,14599.05
20-03-2023,14777.7
21-03-2023,14985.95
22-03-2023,14741.08
23-03-2023,14693.02
24-03-2023,14758.57
27-03-2023,14894.85
28-03-2023,14949.35
29-03-2023,15123.96
30-03-2023,15200.59
31-03-2023,15374.91
03-04-2023,15487.75
04-04-2023,15374.11
05-04-2023,15368.26
06-04-2023,15379.13
10-04-2023,15427.18
11-04-2023,15520.92
12-04-2023,15500.93
13-04-2023,15630.89
14-04-2023,15601.78
17-04-2023,15668.34
18-04-2023,15684.96
19-04-2023,15653.62
20-04-2023,15582.94
21-04-2023,15578.93
24-04-2023,15606.71
25-04-2023,15363.53
26-04-2023,15228.58
27-04-2023,15431.64
28-04-2023,15545.88
01-05-2023,15535.89
02-05-2023,15314.57
03-05-2023,15233.85
04-05-2023,15117.67
05-05-2023,15380.87
08-05-2023,15391.27
09-05-2023,15352.81
10-05-2023,15349.17
11-05-2023,15263.07
12-05-2023,15246.36
15-05-2023,15322.56
16-05-2023,15129.25
17-05-2023,15313.92
18-05-2023,15345.43
19-05-2023,15324.32
22-05-2023,15318.85
23-05-2023,15172.27
24-05-2023,15022.89
25-05-2023,14975.97
26-05-2023,15078.69
30-05-2023,14994.64
31-05-2023,14887.14
01-06-2023,15031.09
02-06-2023,15345.19
05-06-2023,15275.21
06-06-2023,15391.8
07-06-2023,15469.63
08-06-2023,15502.64
09-06-2023,15499.91
12-06-2023,15548.47
13-06-2023,15667.79
14-06-2023,15642.73
15-06-2023,15826.35
16-06-2023,15795.12
20-06-2023,15648.92
21-06-2023,15657
22-06-2023,15600.7
23-06-2023,15469.35
26-06-2023,15518.74
27-06-2023,15646.68
28-06-2023,15617.36
29-06-2023,15737.38
30-06-2023,15875.91
03-07-2023,15918.5
05-07-2023,15835.53
06-07-2023,15641.67
07-07-2023,15671.63
10-07-2023,15748.87
11-07-2023,15897.31
12-07-2023,16011.28
13-07-2023,16106.85
14-07-2023,16040.23
17-07-2023,16054.17
18-07-2023,16156.51
19-07-2023,16230.94
20-07-2023,16263.71
21-07-2023,16289.12
24-07-2023,16369.14
25-07-2023,16385.18
26-07-2023,16418.21
27-07-2023,16270.6
28-07-2023,16363.26
31-07-2023,16427.29
01-08-2023,16356.51
02-08-2023,16174.54
03-08-2023,16125.42
04-08-2023,16071.06
07-08-2023,16208.23
08-08-2023,16176.35
09-08-2023,16135.77
10-08-2023,16135.22
11-08-2023,16143.38
14-08-2023,16116.05
15-08-2023,15911.31
16-08-2023,15818.11
17-08-2023,15734.38
18-08-2023,15750.17
21-08-2023,15746.21
22-08-2023,15690.28
23-08-2023,15823.27
24-08-2023,15683.01
25-08-2023,15766.91
28-08-2023,15879.59
29-08-2023,16041.49
30-08-2023,16074.22
31-08-2023,16000.37
01-09-2023,16091.79
05-09-2023,15942.48
06-09-2023,15891.53
07-09-2023,15864.19
08-09-2023,15878.99
11-09-2023,15949.44
12-09-2023,15953.91
13-09-2023,15926.64
14-09-2023,16089.48
15-09-2023,15973.68
